FROM,TO,ROCK,AU,AG,CU,XCOLLAR,YCOLLAR,ZCOLLAR
186.28,188.78,1.0,1.75047,124.4960046,2.86800668,1738.934937,512.4258423,648.1289063
188.78,191.28,1.0,1.69261,319.16292524,2.03023205,1738.934937,512.4258423,648.1289063
191.28,193.78,1.0,1.37282,26.71849988,0.1139463,1738.934937,512.4258423,648.1289063
193.78,196.28,1.0,1.46556,40.44290179,0.75427872,1738.934937,512.4258423,648.1289063
196.28,198.78,1.0,3.4937,107.8711228,0.67890119,1738.934937,512.4258423,648.1289063
198.78,201.28,1.0,2.18276,50.44070027,0.68766108,1738.934937,512.4258423,648.1289063
201.28,203.78,1.0,2.30152,66.8940695,1.29283983,1738.934937,512.4258423,648.1289063
203.78,204.961,1.0,3.50033,319.16292524,0.96906662,1738.934937,512.4258423,648.1289063
0.0,122.346,0.0,0.0,0.0,0.0,1782.243286,487.25354,644.6019898
122.346,123.275,1.0,0.29269,16.12625612,0.4386429,1782.243286,487.25354,644.6019898
123.275,125.775,1.0,0.19555,9.25658867,1.29496573,1782.243286,487.25354,644.6019898
125.775,128.275,2.0,0.96221,54.84692961,0.53037843,1782.243286,487.25354,644.6019898
128.275,130.775,2.0,2.07916,24.97819551,0.0,1782.243286,487.25354,644.6019898
130.775,133.275,1.0,2.04267,76.24818627,1.1194529,1782.243286,487.25354,644.6019898
133.275,135.775,1.0,1.2848,130.7622746,0.73160718,1782.243286,487.25354,644.6019898
135.775,138.275,1.0,1.95936,76.86621061,0.83208657,1782.243286,487.25354,644.6019898
138.275,140.775,1.0,3.31489,67.00032009,0.0,1782.243286,487.25354,644.6019898
140.775,143.275,1.0,1.64673,100.8251177,0.63665483,1782.243286,487.25354,644.6019898
143.275,145.775,1.0,0.44726,31.07870045,0.0,1782.243286,487.25354,644.6019898
145.775,148.275,1.0,0.43652,56.96661688,0.58880064,1782.243286,487.25354,644.6019898
148.275,150.775,1.0,0.32597,7.97354455,0.35121712,1782.243286,487.25354,644.6019898
150.775,153.275,1.0,1.1755,152.9448165,0.0,1782.243286,487.25354,644.6019898
153.275,155.775,1.0,0.90685,76.59941064,0.13073139,1782.243286,487.25354,644.6019898
155.775,158.275,1.0,0.4358,13.62905598,0.07306312,1782.243286,487.25354,644.6019898
158.275,160.775,1.0,0.95599,28.75989089,0.0,1782.243286,487.25354,644.6019898
160.775,163.275,1.0,0.90667,46.2021983,2.19207074,1782.243286,487.25354,644.6019898
163.275,165.775,1.0,2.21459,55.59225072,0.9076553,1782.243286,487.25354,644.6019898
165.775,168.275,1.0,3.56187,25.94785251,1.9839112,1782.243286,487.25354,644.6019898
168.275,170.775,1.0,4.39486,138.3180857,0.24679572,1782.243286,487.25354,644.6019898
170.775,173.275,1.0,3.61285,105.2349626,2.20593044,1782.243286,487.25354,644.6019898
173.275,175.775,1.0,3.46709,68.63198677,0.0,1782.243286,487.25354,644.6019898
175.775,178.275,1.0,5.09951,105.4976273,0.02029279,1782.243286,487.25354,644.6019898
178.275,180.775,1.0,3.8879,109.3608524,0.0,1782.243286,487.25354,644.6019898
180.775,183.275,1.0,2.24024,54.75297875,1.71601039,1782.243286,487.25354,644.6019898
