BHID,FROM,TO,AU,AG,CU,LENGTH
103,163.2748292,165.7748292,2.21459,55.59225072,0.9076553,2.5
103,165.7748292,168.2748292,3.56187,25.94785251,1.9839112,2.5
103,168.2748292,170.7748292,4.39486,138.3180857,0.24679572,2.5
103,170.7748292,173.2748292,3.61285,105.2349626,2.20593044,2.5
103,173.2748292,175.7748292,3.46709,68.63198677,0,2.5
103,175.7748292,178.2748292,5.09951,105.4976273,0.02029279,2.5
103,178.2748292,180.7748292,3.8879,109.3608524,0,2.5
103,180.7748292,183.2748292,2.24024,54.75297875,1.71601039,2.5
103,183.2748292,185.7748292,1.89225,86.88886986,0,2.5
103,185.7748292,188.2748292,1.54263,47.7118275,0.40568315,2.5
103,188.2748292,190.7748292,2.52928,42.87841217,1.05518965,2.5
103,190.7748292,193.2748292,3.29438,94.98080276,1.62223819,2.5
103,193.2748292,195.7748292,4.60632,209.1354882,0,2.5
103,195.7748292,198.2748292,5.29088,94.00577743,1.73524113,2.5
103,198.2748292,200.7748292,4.24264,0,0.74296935,2.5
103,200.7748292,203.2748292,3.96772,222.8812694,1.57211703,2.5
103,203.2748292,205.7748292,4.83356,60.3014533,0.94968356,2.5
103,205.7748292,208.2748292,5.86171,72.91151835,2.08450895,2.5
103,208.2748292,210.7748292,3.49362,68.90300706,0,2.5
103,210.7748292,212.4884472,1.94972,24.179336,1.36643022,1.713618
104,0,110.8305459,0,0,0,110.8305459
104,110.8305459,111.9332853,0.005,8.86073576,0,1.1027394
104,111.9332853,114.4332853,0.005,30.47980084,0,2.5
104,114.4332853,116.9332853,0.005,4.97916132,1.86009635,2.5
104,116.9332853,119.4332853,0.005,20.01255676,0.48737168,2.5
104,119.4332853,121.9332853,0.1234,7.51496369,0.250732,2.5
104,121.9332853,124.4332853,0.16758,53.9213108,0,2.5
104,124.4332853,126.9332853,0.33417,23.84377348,0.07035815,2.5
104,126.9332853,129.4332853,0.04084,21.41500056,0,2.5
104,129.4332853,131.9332853,0.88732,50.33180228,0,2.5
104,131.9332853,134.4332853,1.00686,72.69536252,0.27410556,2.5
104,134.4332853,136.9332853,0.67885,31.53022317,0,2.5
104,136.9332853,139.4332853,0.98475,44.88408885,0,2.5
104,139.4332853,141.9332853,0.42552,10.3085388,0.23996833,2.5
104,141.9332853,144.4332853,0.005,46.60902904,1.96361569,2.5
104,144.4332853,146.9332853,0.09993,8.49912576,0.46297049,2.5
104,146.9332853,149.4332853,0.005,4.79669656,0,2.5
104,149.4332853,151.9332853,0.16758,16.8364396,0.16603255,2.5
104,151.9332853,154.4332853,0.29294,23.49948554,0,2.5
104,154.4332853,156.9332853,0.44657,4.70790155,0,2.5
104,156.9332853,159.4332853,0.78706,166.7952201,0.66592263,2.5
104,159.4332853,161.9332853,1.02914,99.86687546,0.6768673,2.5
104,161.9332853,164.4332853,0.43655,8.1742436,1.18607715,2.5
104,164.4332853,166.9332853,0.58763,38.49048801,0.20386964,2.5
104,166.9332853,169.4332853,1.76201,51.5513478,0,2.5
104,169.4332853,171.9332853,1.64193,70.93237831,0.34468452,2.5
104,171.9332853,174.4332853,2.13302,165.1598878,0.54265134,2.5
104,174.4332853,176.9332853,3.59391,110.9319543,0.93933256,2.5
104,176.9332853,179.4332853,6.04093,220.0891578,3.30816351,2.5
104,179.4332853,181.9332853,2.06586,83.16176873,1.60223419,2.5
104,181.9332853,184.4332853,2.5144,65.01101316,0,2.5
104,184.4332853,186.9332853,1.1779,43.34769764,0.77543454,2.5
104,186.9332853,189.4332853,2.08446,48.48882019,1.5371559,2.5
104,189.4332853,191.9332853,2.62973,81.536986,0.60788605,2.5
104,191.9332853,194.4332853,5.2468,129.2071058,1.44977051,2.5
104,194.4332853,196.9332853,5.47881,109.1101836,1.08170836,2.5
104,196.9332853,199.14086,6.84233,77.75678282,2.85867592,2.2075747
105,0,98.27057033,0,0,0,98.27057033
105,98.27057033,99.42889918,0.82697,23.1459654,0.68429915,1.15832885
105,99.42889918,101.9288992,1.36893,66.78160413,0.17623275,2.50000002
105,101.9288992,104.4288992,0.90625,38.17435451,0.34950268,2.5
105,104.4288992,106.9288992,0.86551,18.4296648,0.32363721,2.5
105,106.9288992,109.4288992,0.33831,9.98774554,0,2.5
105,109.4288992,111.9288992,0.005,2.67944359,0,2.5
105,111.9288992,114.4288992,0.005,17.59119235,0,2.5
105,114.4288992,116.9288992,0.005,24.0449202,0.68868233,2.5
105,116.9288992,119.4288992,0.005,14.9224015,0.382836,2.5
105,119.4288992,121.9288992,0.005,18.54306889,0,2.5
105,121.9288992,124.4288992,0.53488,32.34795741,0.48749638,2.5
105,124.4288992,126.9288992,0.73348,53.60490093,0,2.5
105,126.9288992,129.4288992,0.47028,109.3351037,0,2.5
105,129.4288992,131.9288992,0.67844,17.00680012,0,2.5
105,131.9288992,134.4288992,0.62382,61.95998333,0.02391365,2.5
105,134.4288992,136.9288992,1.22012,39.00676913,0.18967976,2.5
105,136.9288992,139.4288992,0.98728,48.282892,0,2.5
105,139.4288992,141.9288992,1.13645,23.85336025,0,2.5
105,141.9288992,144.4288992,0.4366,24.21898784,0.07661242,2.5
105,144.4288992,146.9288992,0.13346,29.62785065,2.27129872,2.5
105,146.9288992,149.4288992,0.09628,20.99446054,0,2.5
105,149.4288992,151.9288992,0.005,11.06962739,0.16881359,2.5
105,151.9288992,154.4288992,0.44769,57.36222473,0,2.5
105,154.4288992,156.9288992,1.12414,38.9186404,0,2.5
105,156.9288992,159.4288992,1.14741,44.69588363,0.14217748,2.5
105,159.4288992,161.9288992,1.04158,37.19110355,0.23682206,2.5
105,161.9288992,164.4288992,1.21714,13.7603647,1.34077077,2.5
105,164.4288992,166.9288992,2.27309,54.58217681,0.76321479,2.5
105,166.9288992,169.4288992,3.71044,119.667071,2.85864194,2.5
105,169.4288992,171.9288992,2.07916,62.6059837,1.38428597,2.5
105,171.9288992,174.4288992,3.1861,30.93014778,1.01293822,2.5
105,174.4288992,176.9288992,3.45293,130.6924329,2.05152904,2.5
105,176.9288992,179.4288992,2.0557,49.55892313,1.15346184,2.5
105,179.4288992,181.9288992,1.94139,60.72090087,1.59926542,2.5
105,181.9288992,184.4288992,1.25574,45.4276007,0.25467922,2.5
105,184.4288992,185.0066487,1.1759,13.92886818,0.6074827,0.5777495
106,0,62.37626764,0,0,0,62.37626764
106,62.37626764,62.45536484,6.18756,211.8909576,2.17263445,0.0790972
106,62.45536484,64.95536484,5.03902,383.2515921,4.07254097,2.5
106,64.95536484,67.45536484,2.61129,46.5068425,1.59872756,2.5
106,67.45536484,69.95536484,1.49101,157.596497,0.87092307,2.5
106,69.95536484,72.45536484,1.69899,42.7830368,0.7376907,2.5
106,72.45536484,74.95536484,0.36954,30.03111192,0,2.5
106,74.95536484,77.45536484,0.20739,20.20207258,0,2.5
106,77.45536484,79.95536484,0.47051,10.14024416,0.48637962,2.5
106,79.95536484,82.45536484,1.03146,117.0885262,0.50263733,2.5
106,82.45536484,84.95536484,0.73318,12.54505415,1.36068438,2.5
106,84.95536484,87.45536484,0.4406,15.71366013,0.74261554,2.5
106,87.45536484,89.95536484,0.3346,10.78704712,0,2.5
106,89.95536484,92.45536484,0.38427,99.44528883,0.45704775,2.5
106,92.45536484,94.95536484,0.19404,22.20889131,0.9870224,2.5
106,94.95536484,97.45536484,0.4143,31.53116493,0,2.5
106,97.45536484,99.95536484,0.02547,14.71261385,1.27412405,2.5
106,99.95536484,102.4553648,0.25072,10.60409827,0.36286787,2.49999996
106,102.4553648,104.9553648,0.79852,17.76823826,0,2.5
106,104.9553648,107.4553648,0.12258,18.52241998,0,2.5
106,107.4553648,109.9553648,1.40765,57.0285348,0.41398913,2.5
106,109.9553648,112.4553648,1.24994,26.25666898,0,2.5
106,112.4553648,114.9553648,1.03119,38.40492161,0.60641033,2.5
106,114.9553648,117.4553648,1.03322,16.04402144,0.39846224,2.5
106,117.4553648,119.9553648,0.33264,27.60492865,0.95434111,2.5
106,119.9553648,122.4553648,0.50474,75.21815374,0.12965627,2.5
106,122.4553648,124.9553648,0.17581,15.58875136,0,2.5
106,124.9553648,127.4553648,0.22832,14.4038503,0.39367781,2.5
106,127.4553648,129.9553648,0.42395,52.21446091,0.51448668,2.5
106,129.9553648,132.4553648,0.88286,3.92462009,3.4703256,2.5
106,132.4553648,134.9553648,2.13122,101.5796931,0.66717383,2.5
106,134.9553648,137.4553648,1.96149,47.11291668,1.03922919,2.5
