midx;midy;midz
10755;10915;3885
10745;10905;3895
10755;10905;3895
10745;10915;3895
10755;10915;3895
10765;10905;3885
10775;10905;3885
10765;10915;3885
10775;10915;3885
10765;10905;3895
10775;10905;3895
10765;10915;3895
10775;10915;3895
10785;10905;3885
10785;10915;3885
10785;10905;3895
10795;10905;3895
10785;10915;3895
10795;10915;3895
10805;10905;3895
10815;10905;3895
10805;10915;3895
10815;10915;3895
10825;10905;3895
10825;10915;3895
10835;10915;3895
10575;10925;3895
10585;10925;3895
10595;10925;3895
10585;10935;3895
10595;10935;3895
10605;10925;3895
10615;10925;3895
10605;10935;3895
10615;10935;3895
10625;10925;3885
10635;10925;3885
10625;10935;3885
10635;10935;3885
10625;10925;3895
10635;10925;3895
10625;10935;3895
10635;10935;3895
10645;10925;3885
10655;10925;3885
10645;10935;3885
10655;10935;3885
10645;10925;3895
10655;10925;3895
10645;10935;3895
10655;10935;3895
10665;10925;3885
10675;10925;3885
10665;10935;3885
10675;10935;3885
10665;10925;3895
10675;10925;3895
10665;10935;3895
10675;10935;3895
10685;10925;3885
10695;10925;3885
10685;10935;3885
10695;10935;3885
10685;10925;3895
10695;10925;3895
10685;10935;3895
10695;10935;3895
10705;10925;3885
10715;10925;3885
10705;10935;3885
10715;10935;3885
10705;10925;3895
10715;10925;3895
10705;10935;3895
10715;10935;3895
10725;10925;3885
10735;10925;3885
10725;10935;3885
10735;10935;3885
10725;10925;3895
10735;10925;3895
10725;10935;3895
10735;10935;3895
10745;10925;3885
10755;10925;3885
10745;10935;3885
10755;10935;3885
10745;10925;3895
10755;10925;3895
10745;10935;3895
10755;10935;3895
10765;10925;3885
10775;10925;3885
10765;10935;3885
10775;10935;3885
10765;10925;3895
10775;10925;3895
10765;10935;3895
10775;10935;3895
10785;10925;3885
10795;10925;3885
10785;10935;3885
10795;10935;3885
10785;10925;3895
10795;10925;3895
10785;10935;3895
10795;10935;3895
10805;10925;3895
10815;10925;3895
10805;10935;3895
10815;10935;3895
10825;10925;3895
10835;10925;3895
10825;10935;3895
10835;10935;3895
10585;10945;3895
10595;10945;3895
10595;10955;3895
10605;10945;3895
10615;10945;3895
10605;10955;3895
10615;10955;3895
10635;10945;3885
10625;10945;3895
10635;10945;3895
10625;10955;3895
10635;10955;3895
10645;10945;3885
10655;10945;3885
10645;10955;3885
10655;10955;3885
10645;10945;3895
10655;10945;3895
10645;10955;3895
10655;10955;3895
10665;10945;3885
10675;10945;3885
10665;10955;3885
10675;10955;3885
10665;10945;3895
10675;10945;3895
10665;10955;3895
10675;10955;3895
10685;10945;3885
10695;10945;3885
10685;10955;3885
10695;10955;3885
10685;10945;3895
10695;10945;3895
10685;10955;3895
10695;10955;3895
10705;10945;3885
10715;10945;3885
10705;10955;3885
10715;10955;3885
10705;10945;3895
10715;10945;3895
10705;10955;3895
10715;10955;3895
10725;10945;3885
10735;10945;3885
10725;10955;3885
10735;10955;3885
10725;10945;3895
10735;10945;3895
10725;10955;3895
10735;10955;3895
10745;10945;3885
10755;10945;3885
10745;10955;3885
10755;10955;3885
10745;10945;3895
10755;10945;3895
10745;10955;3895
10755;10955;3895
10765;10945;3885
10775;10945;3885
10765;10955;3885
10775;10955;3885
10765;10945;3895
10775;10945;3895
10765;10955;3895
10775;10955;3895
10785;10945;3885
10795;10945;3885
10785;10955;3885
10795;10955;3885
10785;10945;3895
10795;10945;3895
10785;10955;3895
10795;10955;3895
10805;10945;3885
10805;10955;3885
10805;10945;3895
10815;10945;3895
10805;10955;3895
10815;10955;3895
10825;10945;3895
10835;10945;3895
10825;10955;3895
10835;10955;3895
10845;10945;3895
10845;10955;3895
10605;10965;3895
10615;10965;3895
10615;10975;3895
10625;10965;3895
10635;10965;3895
10625;10975;3895
10635;10975;3895
10655;10965;3885
10645;10965;3895
10655;10965;3895
10645;10975;3895
10655;10975;3895
10665;10965;3885
10675;10965;3885
10675;10975;3885
10665;10965;3895
10675;10965;3895
10665;10975;3895
10675;10975;3895
10685;10965;3885
10695;10965;3885
10685;10975;3885
10695;10975;3885
10685;10965;3895
10695;10965;3895
10685;10975;3895
10695;10975;3895
10705;10965;3885
10715;10965;3885
10705;10975;3885
10715;10975;3885
10705;10965;3895
10715;10965;3895
10705;10975;3895
10715;10975;3895
10725;10965;3885
10735;10965;3885
10725;10975;3885
10735;10975;3885
10725;10965;3895
10735;10965;3895
10725;10975;3895
10735;10975;3895
10745;10965;3885
10755;10965;3885
10745;10975;3885
10755;10975;3885
10745;10965;3895
10755;10965;3895
10745;10975;3895
10755;10975;3895
10765;10965;3885
10775;10965;3885
10765;10975;3885
10775;10975;3885
10765;10965;3895
10775;10965;3895
10765;10975;3895
10775;10975;3895
10785;10965;3885
10795;10965;3885
10785;10975;3885
10795;10975;3885
10785;10965;3895
10795;10965;3895
10785;10975;3895
10795;10975;3895
10805;10965;3885
10805;10975;3885
10805;10965;3895
10815;10965;3895
10805;10975;3895
10815;10975;3895
10825;10965;3895
10835;10965;3895
10825;10975;3895
10835;10975;3895
10845;10965;3895
10845;10975;3895
10625;10985;3895
10635;10985;3895
10635;10995;3895
10645;10985;3895
10655;10985;3895
10645;10995;3895
10655;10995;3895
10665;10985;3895
10675;10985;3895
10665;10995;3895
10675;10995;3895
10695;10985;3885
10685;10985;3895
10695;10985;3895
10685;10995;3895
10695;10995;3895
10705;10985;3885
10715;10985;3885
10705;10985;3895
10715;10985;3895
10705;10995;3895
10715;10995;3895
10725;10985;3885
10735;10985;3885
10725;10995;3885
10735;10995;3885
10725;10985;3895
10735;10985;3895
10725;10995;3895
10735;10995;3895
10745;10985;3885
10755;10985;3885
10745;10995;3885
10755;10995;3885
10745;10985;3895
10755;10985;3895
10745;10995;3895
10755;10995;3895
10765;10985;3885
10775;10985;3885
10765;10995;3885
10775;10995;3885
10765;10985;3895
10775;10985;3895
10765;10995;3895
10775;10995;3895
10785;10985;3885
10795;10985;3885
10785;10995;3885
10785;10985;3895
10795;10985;3895
10785;10995;3895
10795;10995;3895
10805;10985;3895
10815;10985;3895
10805;10995;3895
10815;10995;3895
10825;10985;3895
10835;10985;3895
10825;10995;3895
10835;10995;3895
10845;10985;3895
10845;10995;3895
10655;11005;3895
10665;11005;3895
10675;11005;3895
10675;11015;3895
10685;11005;3895
10695;11005;3895
10685;11015;3895
10695;11015;3895
10705;11005;3895
10715;11005;3895
10705;11015;3895
10715;11015;3895
10725;11005;3895
10735;11005;3895
10725;11015;3895
10735;11015;3895
10745;11005;3895
10755;11005;3895
10745;11015;3895
10755;11015;3895
10765;11005;3895
10775;11005;3895
10765;11015;3895
10775;11015;3895
10785;11005;3895
10795;11005;3895
10785;11015;3895
10795;11015;3895
10805;11005;3895
10815;11005;3895
10805;11015;3895
10815;11015;3895
10825;11005;3895
10835;11005;3895
10825;11015;3895
10835;11015;3895
10705;11025;3895
10715;11025;3895
10725;11025;3895
10735;11025;3895
10735;11035;3895
10745;11025;3895
10755;11025;3895
10745;11035;3895
10755;11035;3895
10765;11025;3895
10775;11025;3895
10765;11035;3895
10775;11035;3895
10785;11025;3895
10795;11025;3895
10785;11035;3895
10795;11035;3895
10805;11025;3895
10815;11025;3895
10805;11035;3895
10825;11025;3895
10775;10515;3915
10795;10505;3915
10785;10515;3915
10795;10515;3915
10805;10505;3915
10815;10505;3915
10805;10515;3915
10815;10515;3915
10825;10505;3915
10835;10505;3915
10825;10515;3915
10835;10515;3915
10845;10505;3915
10845;10515;3915
10855;10515;3915
10865;10515;3915
10735;10535;3915
10755;10525;3915
10745;10535;3915
10755;10535;3915
10765;10525;3915
10775;10525;3915
10765;10535;3915
10775;10535;3915
10785;10525;3915
10795;10525;3915
10785;10535;3915
10795;10535;3915
10805;10525;3915
10815;10525;3915
10805;10535;3915
10815;10535;3915
10825;10525;3915
10835;10525;3915
10825;10535;3915
10835;10535;3915
10845;10525;3915
10855;10525;3915
10845;10535;3915
10855;10535;3915
10865;10525;3915
10865;10535;3915
10875;10535;3915
10635;10555;3915
10645;10555;3915
10655;10555;3915
10675;10545;3915
10665;10555;3915
10675;10555;3915
10685;10545;3915
10695;10545;3915
10685;10555;3915
10695;10555;3915
10705;10545;3915
10715;10545;3915
10705;10555;3915
10715;10555;3915
10725;10545;3915
10735;10545;3915
10725;10555;3915
10735;10555;3915
10745;10545;3915
10755;10545;3915
10745;10555;3915
10755;10555;3915
10765;10545;3915
10775;10545;3915
10765;10555;3915
10775;10555;3915
10785;10545;3915
10795;10545;3915
10785;10555;3915
10795;10555;3915
10805;10545;3915
10815;10545;3915
10805;10555;3915
10815;10555;3915
10825;10545;3915
10835;10545;3915
10825;10555;3915
10835;10555;3915
10845;10545;3915
10855;10545;3915
10845;10555;3915
10855;10555;3915
10865;10545;3915
10875;10545;3915
10865;10555;3915
10875;10555;3915
10885;10555;3915
10605;10575;3915
10615;10575;3915
10625;10565;3915
10635;10565;3915
10625;10575;3915
10635;10575;3915
10645;10565;3915
10655;10565;3915
10645;10575;3915
10655;10575;3915
10665;10565;3915
10675;10565;3915
10665;10575;3915
10675;10575;3915
10685;10565;3915
10695;10565;3915
10685;10575;3915
10695;10575;3915
10705;10565;3915
10715;10565;3915
10705;10575;3915
10715;10575;3915
10725;10565;3915
10735;10565;3915
10725;10575;3915
10735;10575;3915
10745;10565;3915
10755;10565;3915
10745;10575;3915
10755;10575;3915
10765;10565;3915
10775;10565;3915
10765;10575;3915
10775;10575;3915
10785;10565;3915
10795;10565;3915
10785;10575;3915
10795;10575;3915
10815;10565;3905
10815;10575;3905
10805;10565;3915
10815;10565;3915
10805;10575;3915
10815;10575;3915
10825;10565;3905
10835;10565;3905
10825;10575;3905
10835;10575;3905
10825;10565;3915
10835;10565;3915
10825;10575;3915
10835;10575;3915
10845;10565;3915
10855;10565;3915
10845;10575;3915
10855;10575;3915
10865;10565;3915
10875;10565;3915
10865;10575;3915
10875;10575;3915
10885;10565;3915
10885;10575;3915
10595;10585;3915
10585;10595;3915
10595;10595;3915
10605;10585;3915
10615;10585;3915
10605;10595;3915
10615;10595;3915
10625;10585;3915
10635;10585;3915
10625;10595;3915
10635;10595;3915
10645;10585;3915
10655;10585;3915
10645;10595;3915
10655;10595;3915
10665;10585;3915
10675;10585;3915
10665;10595;3915
10675;10595;3915
10685;10585;3915
10695;10585;3915
10685;10595;3915
10695;10595;3915
10705;10585;3915
10715;10585;3915
10705;10595;3915
10715;10595;3915
10725;10585;3915
10735;10585;3915
10725;10595;3915
10735;10595;3915
10745;10585;3915
10755;10585;3915
10745;10595;3915
10755;10595;3915
10765;10585;3915
10775;10585;3915
10765;10595;3915
10775;10595;3915
10785;10585;3915
10795;10585;3915
10785;10595;3915
10795;10595;3915
10805;10585;3905
10815;10585;3905
10805;10595;3905
10815;10595;3905
10805;10585;3915
10815;10585;3915
10805;10595;3915
10815;10595;3915
10825;10585;3905
10835;10585;3905
10825;10595;3905
10835;10595;3905
10825;10585;3915
10835;10585;3915
10825;10595;3915
10835;10595;3915
10845;10585;3915
10855;10585;3915
10845;10595;3915
10855;10595;3915
10865;10585;3915
10875;10585;3915
10865;10595;3915
10875;10595;3915
10885;10585;3915
10885;10595;3915
10575;10615;3915
10585;10605;3915
10595;10605;3915
10585;10615;3915
10595;10615;3915
10605;10605;3915
10615;10605;3915
10605;10615;3915
10615;10615;3915
10625;10605;3915
10635;10605;3915
10625;10615;3915
10635;10615;3915
10645;10605;3915
10655;10605;3915
10645;10615;3915
10655;10615;3915
10665;10605;3915
10675;10605;3915
10665;10615;3915
10675;10615;3915
10685;10605;3915
10695;10605;3915
10685;10615;3915
10695;10615;3915
10705;10605;3915
10715;10605;3915
10705;10615;3915
10715;10615;3915
10725;10605;3915
10735;10605;3915
10725;10615;3915
10735;10615;3915
10745;10605;3915
10755;10605;3915
10745;10615;3915
10755;10615;3915
10765;10605;3915
10775;10605;3915
10765;10615;3915
10775;10615;3915
10785;10605;3915
10795;10605;3915
10785;10615;3915
10795;10615;3915
10815;10605;3905
10815;10615;3905
10805;10605;3915
10815;10605;3915
10805;10615;3915
10815;10615;3915
10825;10605;3905
10835;10605;3905
10825;10615;3905
10835;10615;3905
10825;10605;3915
10835;10605;3915
10825;10615;3915
10835;10615;3915
10845;10605;3915
10855;10605;3915
10845;10615;3915
10855;10615;3915
10865;10605;3915
10875;10605;3915
10865;10615;3915
10875;10615;3915
10885;10605;3915
10885;10615;3915
10565;10625;3915
10575;10625;3915
10565;10635;3915
10575;10635;3915
10585;10625;3915
10595;10625;3915
10585;10635;3915
10595;10635;3915
10605;10635;3905
10615;10635;3905
10605;10625;3915
10615;10625;3915
10605;10635;3915
10615;10635;3915
10625;10625;3905
10635;10625;3905
10625;10635;3905
10635;10635;3905
10625;10625;3915
10635;10625;3915
10625;10635;3915
10635;10635;3915
10645;10625;3905
10655;10625;3905
10645;10635;3905
10655;10635;3905
10645;10625;3915
10655;10625;3915
10645;10635;3915
10655;10635;3915
10665;10635;3905
10665;10625;3915
10675;10625;3915
10665;10635;3915
10675;10635;3915
10685;10625;3915
10695;10625;3915
10685;10635;3915
10695;10635;3915
10705;10625;3915
10715;10625;3915
10705;10635;3915
10715;10635;3915
10725;10625;3915
10735;10625;3915
10725;10635;3915
10735;10635;3915
10745;10625;3915
10755;10625;3915
10745;10635;3915
10755;10635;3915
10765;10625;3915
10775;10625;3915
10765;10635;3915
10775;10635;3915
10785;10625;3915
10795;10625;3915
10785;10635;3915
10795;10635;3915
10805;10625;3915
10815;10625;3915
10805;10635;3915
10815;10635;3915
10825;10625;3915
10835;10625;3915
10825;10635;3915
10835;10635;3915
10845;10625;3915
10855;10625;3915
10845;10635;3915
10855;10635;3915
10865;10625;3915
10875;10625;3915
10865;10635;3915
10875;10635;3915
10885;10625;3915
10885;10635;3915
10555;10645;3915
10555;10655;3915
10565;10645;3915
10575;10645;3915
10565;10655;3915
10575;10655;3915
10595;10645;3905
10585;10655;3905
10595;10655;3905
10585;10645;3915
10595;10645;3915
10585;10655;3915
10595;10655;3915
10605;10645;3905
10615;10645;3905
10605;10655;3905
10615;10655;3905
10605;10645;3915
10615;10645;3915
10605;10655;3915
10615;10655;3915
10625;10645;3905
10635;10645;3905
10625;10655;3905
10635;10655;3905
10625;10645;3915
10635;10645;3915
10625;10655;3915
10635;10655;3915
10645;10645;3905
10655;10645;3905
10645;10655;3905
10655;10655;3905
10645;10645;3915
10655;10645;3915
10645;10655;3915
10655;10655;3915
10665;10645;3905
10675;10645;3905
10665;10655;3905
10675;10655;3905
10665;10645;3915
10675;10645;3915
10665;10655;3915
10675;10655;3915
10685;10655;3905
10685;10645;3915
10695;10645;3915
10685;10655;3915
10695;10655;3915
10705;10645;3915
10715;10645;3915
10705;10655;3915
10715;10655;3915
10725;10645;3915
10735;10645;3915
10725;10655;3915
10735;10655;3915
10745;10645;3915
10755;10645;3915
10745;10655;3915
10755;10655;3915
10765;10645;3915
10775;10645;3915
10765;10655;3915
10775;10655;3915
10785;10645;3915
10795;10645;3915
10785;10655;3915
10795;10655;3915
10805;10645;3915
10815;10645;3915
10805;10655;3915
10815;10655;3915
10825;10645;3915
10835;10645;3915
10825;10655;3915
10835;10655;3915
10845;10645;3915
10855;10645;3915
10845;10655;3915
10855;10655;3915
10865;10645;3915
10875;10645;3915
10865;10655;3915
10875;10655;3915
10545;10665;3915
10555;10665;3915
10545;10675;3915
10555;10675;3915
10575;10675;3905
10565;10665;3915
10575;10665;3915
10565;10675;3915
10575;10675;3915
10585;10665;3905
10595;10665;3905
10585;10675;3905
10595;10675;3905
10585;10665;3915
10595;10665;3915
10585;10675;3915
10595;10675;3915
10605;10665;3905
10615;10665;3905
10605;10675;3905
10615;10675;3905
10605;10665;3915
10615;10665;3915
10605;10675;3915
10615;10675;3915
10625;10665;3905
10635;10665;3905
10625;10675;3905
10635;10675;3905
10625;10665;3915
10635;10665;3915
10625;10675;3915
10635;10675;3915
10645;10665;3905
10655;10665;3905
10645;10675;3905
10655;10675;3905
10645;10665;3915
10655;10665;3915
10645;10675;3915
10655;10675;3915
10665;10665;3905
10675;10665;3905
10665;10675;3905
10675;10675;3905
10665;10665;3915
10675;10665;3915
10665;10675;3915
10675;10675;3915
10685;10665;3905
10695;10665;3905
10685;10675;3905
10695;10675;3905
10685;10665;3915
10695;10665;3915
10685;10675;3915
10695;10675;3915
10705;10665;3915
10715;10665;3915
10705;10675;3915
10715;10675;3915
10725;10665;3915
10735;10665;3915
10725;10675;3915
10735;10675;3915
10745;10665;3915
10755;10665;3915
10745;10675;3915
10755;10675;3915
10765;10665;3915
10775;10665;3915
10765;10675;3915
10775;10675;3915
10785;10665;3915
10795;10665;3915
10785;10675;3915
10795;10675;3915
10805;10665;3915
10815;10665;3915
10805;10675;3915
10815;10675;3915
10825;10665;3915
10835;10665;3915
10825;10675;3915
10835;10675;3915
10845;10665;3915
10855;10665;3915
10845;10675;3915
10855;10675;3915
10865;10665;3915
10875;10665;3915
10865;10675;3915
10875;10675;3915
10535;10695;3915
10545;10685;3915
10555;10685;3915
10545;10695;3915
10555;10695;3915
10565;10685;3905
10575;10685;3905
