BHID,XCOLLAR,YCOLLAR,ZCOLLAR,DEPTH
243,2366.94873,897.600708,545.8897095,409.3327637
244,2042.831299,1142.860107,532.0285645,437.454773
245,2084.934326,1118.85144,535.0737915,431.3761292
246,2132.006592,1094.187988,537.090271,425.8695984
247,2175.514648,1064.304199,542.5547485,417.2121887
248,2216.792969,1044.687988,547.0640259,406.9914551
250,2308.560303,992.2858276,540.4172363,419.7450562
251,2348.936523,965.4646606,541.6381836,418.9368286
252,2391.459229,943.7025147,542.7750244,415.6076355
253,2067.724121,1189.137573,531.5911865,438.7322388
254,2112.613525,1164.134644,533.2948608,433.7557373
255,2154.967529,1136.762573,538.1235352,425.2678223
256,2199.950684,1107.467529,541.5108643,417.8152771
258,2286.396973,1058.877075,539.7075806,421.6932678
260,2372.642334,1009.68158,539.8416748,421.7095032
261,2415.652832,982.31604,543.2763062,414.5905762
262,2224.787109,1157.770508,543.0024414,415.5341187
263,2267.605225,1130.136353,543.2781982,413.5259094
264,2314.704834,1102.8573,534.5254517,432.5832214
266,2397.868652,1052.258179,535.7468872,430.0265198
267,2441.832275,1033.530273,544.6536865,411.4671936
268,2423.842285,1096.096436,527.9094849,445.6816711
269,2466.167236,1071.304443,533.4615479,435.0989685
